raw,id,address,price,beds,baths,sq_ft,pool,subj_remodel_score,throw_out,sold_price,sold_date,lot_size,list_price,list_price2,list_price3,list_price4,list_price5,list_price6,list_price7,list_price8,list_price9,list_price10,list_price11,list_price12,list_date1,list_date2,list_date3,list_date4,list_date5,list_date6,list_date7,list_date8,list_date9,list_date10,list_date11,list_date12,list_date13,list_date14
"4 bd2 ba1,962 sqft 1242 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $530,900",13,"1242 Campbell Dr, Las Vegas, NV 89102",530900,4,2,1962,1,-1,0,-1,-1,9583,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3 bd2 ba1,872 sqft 1238 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $474,100",14,"1238 Campbell Dr, Las Vegas, NV 89102",474100,3,2,1872,0,3,0,-1,-1,9147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4 bd4 ba3,195 sqft 3020 Mason Ave, Las Vegas, NV 89102 Off market Zestimate®: $744,200",15,"3020 Mason Ave, Las Vegas, NV 89102",744200,4,4,3195,0,-1,0,-1,-1,13939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3 bd3 ba2,045 sqft 1257 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $641,400",16,"1257 Campbell Dr, Las Vegas, NV 89102",641400,3,3,2045,1,5,0,-1,-1,10890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3 bd2.5 ba2,396 sqft 1263 Campbell Dr, Las Vegas, NV 89102 Off market Zestimate®: $599,300",17,"1263 Campbell Dr, Las Vegas, NV 89102",599300,3,5,2396,1,-1,0,-1,-1,10890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4 bd2.5 ba2,610 sqft 3020 Bryant Ave, Las Vegas, NV 89102 Off market Zestimate®: $598,100",18,"3020 Bryant Ave, Las Vegas, NV 89102",598100,4,5,2610,0,-1,0,-1,-1,10890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4 bd3 ba2,696 sqft 3021 Bryant Ave, Las Vegas, NV 89102 Off market Zestimate®: $754,100",19,"3021 Bryant Ave, Las Vegas, NV 89102",754100,4,3,2696,1,-1,0,-1,-1,10454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4 bd3 ba2,257 sqft 3016 Colanthe Ave, Las Vegas, NV 89102 Off market Zestimate®: $542,600",20,"3016 Colanthe Ave, Las Vegas, NV 89102",542600,4,3,2257,0,-1,0,-1,-1,9583,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4 bd3 ba2,514 sqft 3017 Colanthe Ave, Las Vegas, NV 89102 Off market Zestimate®: $662,900",21,"3017 Colanthe Ave, Las Vegas, NV 89102",662900,4,3,2514,1,3,0,-1,-1,10454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4 bd2 ba2,177 sqft 3016 Gilmary Ave, Las Vegas, NV 89102 Off market Zestimate®: $526,300",22,"3016 Gilmary Ave, Las Vegas, NV 89102",526300,4,2,2177,0,-1,0,-1,-1,10018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"5 bd-- ba3 sqft 3017 Gilmary Ave, Las Vegas, NV 89102 Off market Zestimate®: $577,400",23,"3017 Gilmary Ave, Las Vegas, NV 89102",577400,5,3,3,1,-1,1,-1,-1,10018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4 bd3 ba2,758 sqft 3021 Mason Ave, Las Vegas, NV 89102 Closed: $636,000 Sold on 05/17/24 Zestimate®: $641,100",24,"3021 Mason Ave, Las Vegas, NV 89102",641100,4,3,2758,1,5,0,636000,05/17/24,11761,650000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3 bd2 ba2,130 sqft 2709 Gilmary Ave, Las Vegas, NV 89102 Closed : $534,000Sold on 07/06/23Zestimate®: $612,000 4/14/2023 Listed for sale $549,900 7/6/2023 Sold $534,000 6/7/2023 Pending sale $529,900 5/4/2023 Price change1 $529,900 4/14/2023 Listed for sale $549,900 pool1 remodel8 lot9147",25,"2709 Gilmary Ave, Las Vegas, NV 89102",612000,3,2,2130,1,8,0,534000,07/06/23,9147,549900,529900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04/14/2023,05/04/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3 bd2 ba2,236 sqft 2912 Gilmary Ave, Las Vegas, NV 89102 Closed : $675,000Sold on 02/24/22Zestimate®: $722,000 1/20/2022 Listed for sale $650,000 2/24/2022 Sold $675,000 pool1 remodel8 lot9147",26,"2912 Gilmary Ave, Las Vegas, NV 89102",722000,3,2,2236,1,8,0,675000,02/24/22,9147,650000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01/20/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4 bd2 ba1,968 sqft 2904 Gilmary Ave, Las Vegas, NV 89102 Closed : $750,000Sold on 04/11/22Zestimate®: $734,400 4/11/2022 Sold $750,000 3/18/2022 Pending sale $735,000 3/14/2022 Listed for sale $735,000 pool1 remodel9 lot9147",27,"2904 Gilmary Ave, Las Vegas, NV 89102",734400,4,2,1968,1,9,0,750000,04/11/22,9147,735000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03/14/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3 bd2 ba1,997 sqft 2704 Gilmary Ave, Las Vegas, NV 89102 Closed : $610,000Sold on 06/30/23Zestimate®: $665,200 6/30/2023 Sold $610,000 6/6/2023 Pending sale $599,995 6/1/2023 Listed for sale $599,995 5/22/2023 Pending sale $599,995 5/17/2023 Price change6 $599,995 5/14/2023 Listed for sale $614,995 5/10/2023 Pending sale $614,995 4/19/2023 Price change5 $614,995 4/18/2023 Listed for sale $619,995 4/10/2023 Pending sale $619,995 3/23/2023 Price change4 $619,995 3/16/2023 Price change3 $629,995 3/2/2023 Price change2 $639,995 2/16/2023 Price change1 $649,995 2/2/2023 Listed for sale $669,995 pool1 remodel9 lot9147",28,"2704 Gilmary Ave, Las Vegas, NV 89102",665200,3,2,1997,1,9,0,610000,06/30/23,9147,599995,649995,639995,629995,619995,614995,599995,-1,-1,-1,-1,-1,06/01/2023,02/16/2023,03/02/2023,03/16/2023,03/23/2023,04/19/2023,05/17/2023,NA,NA,NA,NA,NA,NA,NA
"4 bd2 ba1,940 sqft 2612 Gilmary Ave, Las Vegas, NV 89102 Closed : $570,000Sold on 04/30/24Zestimate®: $581,900 4/30/2024 Sold $570,000 4/1/2024 Contingent $595,000 3/4/2024 Price change2 $595,000 1/31/2024 Price change1 $605,000 1/6/2024 Listed for sale $620,000 pool0 remodel7 lot9583",29,"2612 Gilmary Ave, Las Vegas, NV 89102",581900,4,2,1940,0,7,0,570000,04/30/24,9583,620000,605000,595000,-1,-1,-1,-1,-1,-1,-1,-1,-1,01/06/2024,01/31/2024,03/04/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3 bd2 ba2,079 sqft 2905 Colanthe Ave, Las Vegas, NV 89102 Closed : $620,000Sold on 07/17/23Zestimate®: $675,600 7/17/2023 Sold $620,000 6/6/2023 Pending sale $619,990 6/3/2023 Listed for sale $619,990 pool1 remodel6 lot9147",30,"2905 Colanthe Ave, Las Vegas, NV 89102",675600,3,2,2079,1,6,0,620000,07/17/23,9147,619990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06/03/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3 bd2 ba1,814 sqft 3012 Colanthe Ave, Las Vegas, NV 89102 Closed : $495,000Sold on 09/15/21Zestimate®: $602,800 9/15/2021 Sold $495,000 8/18/2021 Pending sale $495,000 8/17/2021 Listed for sale $495,000 pool1 remodel6 lot9147",31,"3012 Colanthe Ave, Las Vegas, NV 89102",602800,3,2,1814,1,6,0,495000,09/15/21,9147,495000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,08/17/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3 bd2 ba1,814 sqft 2908 Colanthe Ave, Las Vegas, NV 89102 Closed : $440,000Sold on 05/28/24Zestimate®: $477,200 5/28/2024 Sold $440,000 pool1 remodel-1 lot9147",32,"2908 Colanthe Ave, Las Vegas, NV 89102",477200,3,2,1814,1,-1,0,440000,05/28/24,9147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
