raw,id,address,price,beds,baths,sq_ft,pool,subj_remodel_score,throw_out,sold_price,sold_date,lot_size,list_price,list_price2,list_price3,list_price4,list_price5,list_price6,list_price7,list_price8,list_price9,list_price10,list_price11,list_price12,list_date1,list_date2,list_date3,list_date4,list_date5,list_date6,list_date7,list_date8,list_date9,list_date10,list_date11,list_date12,list_date13,list_date14,for_sale_price
"4 bd3 ba3,014 sqft 8108 Bay Harbor Dr, Las Vegas, NV 89128 Sold : $545,000Sold on 09/14/21Zestimate®: $719,200 remodel5 lot6534 pool1 9/14/2021 Sold $545,000",13,"8108 Bay Harbor Dr, Las Vegas, NV 89128",719200,4,3,3014,1,5,0,545000,09/14/21,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,588 sqft 8104 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $619,400  remodel5 lot6534 pool0",14,"8104 Bay Harbor Dr, Las Vegas, NV 89128",625000,4,3,2588,0,5,0,-1,-1,6534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640000
"3 bd2 ba3,014 sqft 8149 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $722,500 remodel-1 lot6969 pool0",15,"8149 Bay Harbor Dr, Las Vegas, NV 89128",722500,3,2,3014,0,-1,0,-1,-1,6969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd2.5 ba2,588 sqft 8145 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $731,500 remodel-1 lot6969 pool1",16,"8145 Bay Harbor Dr, Las Vegas, NV 89128",731500,3,5,2588,1,-1,0,-1,-1,6969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3.5 ba3,406 sqft 8141 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $865,500 remodel-1 lot6969 pool1",17,"8141 Bay Harbor Dr, Las Vegas, NV 89128",865500,4,5,3406,1,-1,0,-1,-1,6969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,588 sqft 8137 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $791,200 remodel-1 lot8276 pool1",18,"8137 Bay Harbor Dr, Las Vegas, NV 89128",791200,4,3,2588,1,-1,0,-1,-1,8276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd3 ba3,014 sqft 8133 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $905,800 remodel5 lot10454 pool1",19,"8133 Bay Harbor Dr, Las Vegas, NV 89128",905800,3,3,3014,1,5,0,-1,-1,10454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd4 ba3,406 sqft 8129 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $931,300 remodel5 lot6969 pool1",20,"8129 Bay Harbor Dr, Las Vegas, NV 89128",931300,4,4,3406,1,5,0,-1,-1,6969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,588 sqft 8125 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $764,400 remodel3 lot7405 pool1",21,"8125 Bay Harbor Dr, Las Vegas, NV 89128",764400,4,3,2588,1,3,0,-1,-1,7405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd4 ba2,660 sqft 8117 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $777,900 remodel7 lot69699 pool1",22,"8117 Bay Harbor Dr, Las Vegas, NV 89128",777900,4,4,2660,1,7,0,-1,-1,69699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba3,014 sqft 8113 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $817,800 remodel-1 lot7841 pool0",23,"8113 Bay Harbor Dr, Las Vegas, NV 89128",817800,4,3,3014,0,-1,0,-1,-1,7841,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd2 ba2,316 sqft 8109 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $698,800 remodel-1 lot8276 pool1",24,"8109 Bay Harbor Dr, Las Vegas, NV 89128",698800,3,2,2316,1,-1,0,-1,-1,8276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd2.5 ba3,014 sqft 8105 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $786,100 remodel-1 lot8276 pool1",25,"8105 Bay Harbor Dr, Las Vegas, NV 89128",786100,4,5,3014,1,-1,0,-1,-1,8276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd2.5 ba2,588 sqft 8101 Bay Harbor Dr, Las Vegas, NV 89128 Off market Zestimate®: $769,200 remodel-1 lot7405 pool1",26,"8101 Bay Harbor Dr, Las Vegas, NV 89128",769200,3,5,2588,1,-1,0,-1,-1,7405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd3 ba3,014 sqft 8120 Pacific Cove Dr, Las Vegas, NV 89128 Closed : $725,000Sold on 06/12/24Zestimate®: $725,900 remodel5 lot6534 pool1 6/12/2024 Sold $725,000 5/23/2024 Pending sale $797,000 4/18/2024 Price change1 $797,000 2/24/2024 Listed for sale $812,000",27,"8120 Pacific Cove Dr, Las Vegas, NV 89128",725900,3,3,3014,1,5,0,725000,06/12/24,6534,812000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02/24/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,361 sqft 2804 Crystal Beach Dr, Las Vegas, NV 89128 Closed : $521,000Sold on 04/03/24Zestimate®: $530,700 remodel-1 lot6098 pool0 4/3/2024 Sold $521,000 3/21/2024 Pending sale $499,999 3/20/2024 Listed for sale $499,999",28,"2804 Crystal Beach Dr, Las Vegas, NV 89128",530700,4,3,2361,0,-1,0,521000,04/03/24,6098,499999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03/20/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,284 sqft 7920 Bridge Gate Dr, Las Vegas, NV 89128 Closed : $700,000Sold on 02/28/24Zestimate®: $699,500 remodel-1 lot6534 pool1 2/28/2024 Sold $700,000 1/29/2024 Pending sale $710,000 1/18/2024 Listed for sale $710,000",29,"7920 Bridge Gate Dr, Las Vegas, NV 89128",699500,4,3,2284,1,-1,0,700000,02/28/24,6534,710000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01/18/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,419 sqft 8308 Opal Cove Dr, Las Vegas, NV 89128 Closed : $595,000Sold on 10/19/23Zestimate®: $630,200 remodel4 lot9583 pool0 10/19/2023 Sold $595,000 10/17/2023 Pending sale $605,000 9/27/2023 Contingent $605,000 9/21/2023 Price change1 $605,000 9/18/2023 Listed for sale $629,000",30,"8308 Opal Cove Dr, Las Vegas, NV 89128",630200,4,3,2419,0,4,0,595000,10/19/23,9583,629000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,09/18/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,116 sqft 7816 Cape Vista Ln, Las Vegas, NV 89128 Closed : $550,000Sold on 02/20/24Zestimate®: $566,100 remodel8 lot7405 pool0 2/20/2024 Sold $550,000 2/4/2024 Pending sale $545,000 2/2/2024 Listed for sale $545,000",31,"7816 Cape Vista Ln, Las Vegas, NV 89128",566100,4,3,2116,0,8,0,550000,02/20/24,7405,545000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02/02/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
